alt;become frozen
tsectsúlecw;lying on the bottom of a body of water
tsectsustés;telling  sb. how to do stg.,  E  to talk sb. into stg.
tsectsút.se7;stocked with potatoes (about cellar)
tsect̓úgw;well trodden trail
tsect̓uqénk;cliffs (plateus) ???
tsectúqw;is indented
tsect̓yélp;fated, predestined
tsecúlecwem;clearing  land
tsecúsem;s/he is fixing the fire,is adding fuel to the fire (as in trouble)
tsecúsens;s/he is fixing the fire,is adding fuel to the fire (as in trouble)
tsecw7éwsens;s/he picked up the child inhis/her arms
tsecwésell;jackspring salmon
tsec.wík;bare-bottomed, E  naked.
tsecwíle;happy to see one's children
ts̓ecwlemstés;s/he disliked,found uncomfortable, unpleasant
ts̓ecwlém, tsets̓ecwlém;wrong,awkward,does not feel comfortable
ts̓ecwlém;uncomfortable,wrong,unpleasant
tsecwmíken̓  -ucw;See cuxm¡ke˙.  ???
tsecwmíns;s/he greeted him/her
tsécwtsecwt;joyful
tsecyelk̓wélcken;hollow in mountainside  ???
tsecyéy̓em;several people are present in a house
tsecyúcw;facial features/ teeth caved inward due to injuries
tsecyúsu7sqen;hair  is tied in a tuft
ts̓egtín;rattlesnake
tsegtsítsren̓s,  tsegtsetsítsgens;tearing into shreds
tsegwelqékne;bird (unid., similar to chickadee) ???
tsegwllníl̓t;spring salmon
tsegwllníl̓t,  stsegwllníl̓t;fish with colour on its side
tsegwpíle;bleeding after childbirth
tsegwtseqwqín̓;beets
tseke7méns;cried for stg.(babies)
tsekíp̓xen, tseckíp̓xen;clasped under the arm
tsek̓púpcw, tseck̓púpcw;bowl
tsek̓t;odour of pungent  burning ...
tsektsíkmen̓st;stretching upon waking up
tsektsík̓t;glittering
tsekúk̓w;stiffened
tsek̓úlecw;daybreak
tsek̓úm;See cek∆q̓entés.  ???
tsék̓wcen̓;flashlight
tsék̓wem;shined a light towards stg.
tsék̓wens;shined a light towards stg.
tsek̓wpékst;stiff arm
tsekwqínem;pulling a (boat) to shore
tsek̓wscen7úl̓i;candle  made of twisted material and animal fat.   (MJ)
tsék̓wscen̓;lamp, light
tsék̓wsem̓;she put on the lights
tsek̓wsten7úl̓i;wax candle
tsék̓wsten̓;light, lamp
tsekwtsék̓w;light, bright
tsekwtsétsk̓wem̓;lightning flashes.
tsekwtsk̓wénem;getting/doing better, recovering, improving
tsekwtsk̓wésq̓t;clear day
tsekwtsk̓wílc;she stretched (upon waking)
tsekwtsúk̓wt;stiff, tight,frozen as material
ts̓elcenwéllen̓;able to stand up (of a person)
ts̓elctsín̓;attended a funeral
ts̓elcúm   II.;hopping appearance  (of deer).
ts̓elcúm   I.;stood stg. upright
ts̓elcwekensqéxe7;saddled a horse
ts̓elcwentés;raised upright
ts̓elcwenwéwcw;pack-saddle
ts̓elcwey̓éqstcen̓;lie with the knees drawn up
ts̓elcwíken̓;saddle
ts̓elcwíknem̓;saddled
ts̓elcwíknens;he saddled
ts̓elcwílc;bending all the way down, touching toes
ts̓elcwílep, ts̓elcwílep;chair
ts̓elílcmens, xelts̓lílcmens;blocked someone's path
tselk̓él̓s;bone with black band in the stick game
tselkík̓u7s;black-band "bone" in a stick game
tselkll7úpekst;fifty
tselk̓qín;turban
tselkstésq̓t,  stq̓emkstésq̓t;Friday
ts̓ellens;paid for a deed done ???
ts̓ellewíl;paying  for a trip/ride
t̓sellp;spruce  Picea glauca  / Picea englemanii
ts̓ellt;cold temperature
tsellts̓ellús;look alike, with similar faces
tsellts̓ílle;identical,same
tsellts̓íllem;measuring
tsellts̓íllens;measuring
tsellts̓íllke7;pattern,ruler,instrument to measure stg.
ts̓ellwéwletsk, ts̓ellwéwltsk, -en;grass- or watersnake
ts̓elmíns;fish weir
ts̓elmús;similar faces
t.selpálqw;treebark peels off
t.selpéllqw;rushing to a berry-picking spot before others
t.selpéts̓e7;peeled off  ???
tselq'em̓,-entés;tasting/eating with the swipe of the fingers
ts̓él̓qenten;shampoo
ts̓elqenúpye7;sunflower leaves
ts̓elqenúpye7, ts̓elqnúpye7;stems and leaves of sunflowers
ts̓elqín̓em;leaving a fish line in water overnight
ts̓elsám,-entás;oiling leather  ???
t.selslélke;two-point deer
ts̓elsqínten;hair oil
ts̓eltméqs;end of log pointing towards some direction
tsélts̓el,  -é;cricket
tselts̓eltútlecw;tubular goosegrass
ts̓eltsín̓s;set stg. by an open fire
tseltsólcnem, tsálcnem;taking wide/long strides when walking
ts̓elút;mats weaved from rushes
tselxém;picked up stg. discarded by others
tselxentés;he picked up stg. discarded by others
tselxemstés;s/he know it
tselxemstsút;she knows her own habits
tselxemwilcem;becoming aware of things as a young child,she is learning.
tselxemwílcemst.s;she is learning all bout it
tselxemwílcstem;become a known fact
tselxmékst, tselxemékst;knowing how to do stg. with the hands
tselxmúlecwem, tselxemúlecwem;s/he knows the country/district well
ts̓elxwentés/ts̓elxwstés;caused someone to  perspire/sweat
tsem7úy, tsem7óy;bent of wire or metal
ts̓emélqwem;howling wind ithrough  trees
tsemém̓elqw;small branches/sticks
ts̓ememí7;constantly crying
ts̓ememím̓;peep, cheep  of mice
ts̓emíle, ts̓míle/ts̓méle;baby cries.
ts̓emíns;cried  for, mourned
tsemlám;married,  baptized
tsemlámst.s;applys medicine to,baptises,performs marriages.
tsemtsemts̓úm̓;cheeping of  mice
tsem;wait awhile
ts̓emxenwéwllem;poison ivy
tsemxúlecw;there is snow on the ground
tsen7é7kwe;braiding leather (four strands or more)
tsen7éq̓;is rotten
tsencál;is curtained off
tsencécme7;place where things are put  ???
tsenct̓étkwe, tsnect̓étkwe;placed underground under water, E  stakes of fishtrap are set up in water.
tsencúlwesqen;smoke vent
tsenemékstem̓;showing others how to do crafts etc. with the hands,to make signs,to talk in sign language.
tsenemékstens;he showing others how to do crafts etc. with the hands,to make signs,to talk in sign language.
tsenem̓tsíns;taught  sb. a language
tsengwílc;visited someone without parental permission
tsen̓meksélt;teacher
tsenmen7éqstcen̓;blue jeans
tsénmen;Chinese
tsenpep̓néqstcen;sitting with the legs crossed
tsenpút̓em;coming out of  the woods
tsenpút̓emst.s;chased stg. out of the woods
ts̓enqín̓c,  ts̓elqílc;bucking horses
tsentés;she punched him
tsentsqwéqwelt;to come and hear if there is any news ???
tsentsún̓emnem, tsentsún̓em;he/she pointed at stg
tsentwécw, tsentwecwéy̓e;boxed one another with the fists
tsenxelq̓éqs;pigs nose
tsenxeltém̓;covered a wall with plywood/wall boards
tsenxíxo7kwe;dumplings
tsenxlél̓s, nexlél̓s;with a bridge
tsenxlúlecw;covering the river bottom (of numerous fish)
tsepepépq̓;plant (unid., burdock type, small bue flowers).???
tsepq̓ém;she stuck it  to stg.
tsepq̓entés;he she stuck it  to stg.
tseptékwll;legend  or myth (oral)
tseptseplí;wheat
tseptsepqenéllp;plant (unid., similar to p∆nek̓p). ???
ts̓eq7em, ts̓eq7ím, ts̓qentés;pecked
ts̓eq7éwll;dugout canoe
ts̓eq7éwllem,  ts̓eq7ullcén;travel by canoe, to go for a boat ride
ts̓eq7éwll,  sts̓eq7éwll;dugout canoe
ts̓eq7éwll,  tselk̓éwll  ???;wooden  barrel
tseq̓élqw, tqelcwpélqw;bumped into a tree or wall
tseqél̓s;a vehickle has stopped running and is parked on a road somewhere.
ts̓éqem;to pull out (weeds, hair), E  to knead, to make yeast bread,bird pecks someone.
ts̓éqens;to pull out (weeds, hair), E  to knead, to make yeast bread,bird pecks someone.
tseqéq;come to a standstill of a vehickle
tseq̓méke7;pounding rock,Thunderbird's arrow.
tseq̓mém̓llp;burr
tseq̓míct.s;she threw it away on him
tseq̓míns;she threw it,she threw it away
tseq̓mín;tree hit by lightning ???
tseq̓qínten;hammer
ts̓éqqnem;to pull out hair with a comb etc.
ts̓éqqnens;to pull out hair with a comb etc.
tseqtsíq;tame animal
tsequ7senwécw;spliced  together
tseqúq̓w;act with relish, be keenly engaged in a game
tseqús   I.;getting to the opposite bank of a waterway
tseqús   II.;red in the face
tseqwéy̓emst.s;wasteful with  food
tseqwéy̓e, tseqway̓a;teasingly amourous to the opposite sex in front of  a group,evil, wicked.
tseq̓wgwi7úl̓i;youngest in family
ts̓eqwllelléllna7/ts̓eqwlléllne7;newborn baby ???  fawn???
tseqwqín̓;pileated woodpecker.
tseqwqín;redhead
tséqwtsenten, tseqwtsínten;lipstick
tseqwtseq̓wstés;doing stg. with relish
tseqwtsítsen;redmouth sucker  ???
tseqwtsqwéqwelcken;bedbugs
tseqwtsqwéqwelqw;redwillow (bark used for cigarette paper)
tseqwtsqwéqwelqw;"red willow", red osier dogwood Cornus stolonifera
tseqwtsqwéqwscen̓;pennies
tseqwtsq̓wésp;red- or yellow-shafted flicker
tseqwtsúq̓wt;eager, ambitious,bright  in color,E  suitable, perfectly matched.
tser7ap;rain falls heavily
t.sér̓ens;shaking  off berries, snow
tsertsrép;caught on fire,forest fire
tset̓cén̓;running shoes
tsetcwéy̓e;playing house (children)
tsetenwén̓s;is able to pronounce the word
tsetét̓qe7;a kind of pitch "balm of Gilead".
tsets̓7ú7em;mourning dove
tsetscéws;halffull,half done
tsetsé7,  tsatsá7;little sister
tsets̓écem;embarrassed,shy
tsétsecen;younger sister (pet name)
tsets̓ecmúll;bashful
tsets̓elcúm;running   (deer)
tséts̓elq;sunflower root
tséts̓elq;sunflowers, balsam root (E refers to root only) Balsamorhiza sagittata.
tsetsen̓pékst, tsetsenpákst;hands become numb from vibrating tools
tsetsenpélcken, tsetsenpálcken;whole being is numb
tsets̓enqín̓c, tsets̓enqílc;bucking
tsetsetenwén̓s;to be right, say/do the right thing,hit upon, find
tsetséts̓llt;fairly cold temperature
tsetsét;work is done to standard
tsets̓éx;she look
tsetsígka7, tsetséka7;sissy, crybaby
tsets̓iqílc;buck
tsetsíts̓kcnem̓;movements of salmon after spawning
tsetsítsk̓elc;she signaled for sb. to leave the room or company
tsetsítsk̓em;challenging someone  bigger than oneself
tsetsítsk̓ens;challenging someone  bigger than oneself
tsetsítsme7t;tiny
tsetsíts.se7t;fine, thin of  thread, string, rope
tsetskell7úpekst, tskell7úpekst;seventy
tsetskll7úpekst, tsetsllke7úpekst;seventy
tsétsk̓wem̓,  ctsekwtsékwsens;pit-lamping
tsétsk̓wem̓;fishing with a torch-light
tsétsk̓wens;he fishing with a torch-light
tsets̓qíq7e;chickadee
tsets̓uye7í7elt;porcupine baby
tsets̓xéy̓nem;to check one's nets.
tséwcnem, tsawcna;he/she showed their legs
tséwem;birds are chirping, calling loudly
ts̓éwem;washing stg.
tséwens, tsawas;she held it up for everyone to see
ts̓éwe, ts̓awa;collarbone
tséwkstem, tsáwksta;she reached out her hand
ts̓éwkstem;washing the hands
ts̓éwsem;washing the face
ts̓éwsten ne sctsuts̓éwem;dish soap
ts̓éwsten ne skwt̓us;face soap
ts̓éwsten ne sqwíts̓em;laundry soap
ts̓éwsten, ts̓awstn;soap
ts̓ewt,  sts̓ewt;echo
ts̓ewt, ts̓awt   I.;was washed  out (of stains)
tsexícwe7tsk;a "raw" tongue after eating certain types of food.
ts̓exlépe;lekemín soup with berries
ts̓exlétsen;mink
ts̓exlí7, clígwe7centen;snowshoes
ts̓exlí7em;snowshoeing
ts̓exlí7;snowshoes
ts̓exlí7, sts̓exlí7;snowshoes,  having snowshoes on
ts̓exlltmícw;weather forecast
ts̓exmín̓;mirror
tsexmíns;she dislikes him  ???
tsexqeqixús;drunken appearance
tsexq̓éqstcen̓, tsexq̓7éqstcen̓;a wad of money in  the hip-pockets
tsexq̓istsín;forked (tree)
tsexqwe7élcken;large hollow in a hillside
tsexqwetyélps re mégcen;there is a ring around (the moon).
tsexqwlús;eye cataract
tsexts̓íxt;prickly plant, scratchy material
ts̓exúxwpye7;salmon that has  "lost its tail" after spawning
ts̓exúxwpyem̓;salmon "lose their tail" after spawning.
ts̓exwtsín̓, ctsextsín;raw tongue
tsexwts̓úxw;red willow berries
tsexwts̓xwellp;red willow, red osier dogwood Cornus stolonifera.
ts̓éyqen/ts̓áyqen;ringing in one's ears.
t.séysest.s,   -mst.s;she played with the child, with another child etc.
ts̓eyt;echo
ts̓éy̓xe;crab.
tsgelcwtém̓, tsexgegelcwtém̓;residue on bottom of pan has hardened
tsgelúcw;material /hides stiffen  from freezing or hides have dried too slowly..
tsgépem;cried (adult)
tsgep;torn
tsgétslem;callouses
tsgexgéx;groove, furrow.
tsgexgígx;small furrows
tsgum;tore from material/food
tsgwentés;s/he made a stripe/furrow/line
tsgweyemí7;always joking
tsgwey;joked
tsgweyst.s;teased him/her,worked at stg. haphazardly
tsgwum;xq̓yélqwem,drew a line
ts̓gwyúy̓lecw;gravel
ts̓i7;deer,meat, flesh
tsi7úq̓w;rotten metal material,has rust on it
tsi7úq̓w, tsye7úq̓w;rotten
tsícem;warming up stg.,  Do  to cook, barbecue
tsícens;warming up stg.,  Do  to cook, barbecue
tsict;is warmed up
t.sicwnen̓tsút;water poured over one's self.
tsícwts̓ecw;fishhawk, osprey
ts-   I.;do as in  "do come in"  come towards as in "come over here"
tsígem;s/he tore some...
tsígens;s/he tore some...
tsígemt;torn, ripped
tsigép;people have arrived
tsigép, tsyegép   I.;several people arrive home
tsigka7ó7s,(sp)  tsetséko7s;spoiled, whining child
tsígka7  (sp)??;whinning child
ts̓igwt;drag behind
ts-   II.;habitual marker in verbs "h/she carries it continuously"
tsíka7, tséke7;baby cries for attention
tsík̓em;shined the metal,shining a mirror in the sun
tsík̓ens;shined the metal,shining a mirror in the sun
ts̓ílem;all, whole
ts̓ílemsts;took all of stg.
ts̓ílem;the same, similar, like this/that,the way things are.
tsililép̓, tsyelyelélp;bushes
tsilkst;five
tsilók̓w;coiled up
tsilók̓w, tsyelók̓w;coiled up
tsímens;melted stg.
tsimt;melted
tsípwen;root cellar
tsíqem;he is digging in the ground
tsíqens;he is digging in the ground
tsíqllcwem;digging out a den
tsíqllcwens;digging out a den
tsíqweltcw;tamarack (poss. Larix occidentalis)
tsíqwenst;ripening stage of fruit and berries
tsiqw;red
tsíqwsem, tsíqwsa;painting one's face,putting on rouge
tsíqwstn;face paint
tsitcw;house, lodging
tsitcws re kúkwpi7;ckupi7éllcw,chief's house
tsit̓;pitch
tsítselkst;five animals or small objects
tsítslem, tsítsla;new
tsítsqse7;first son/daughter
tsítsqtseqt;sooty grouse, fool hen
tsítsqwsa7;first baby
tsíts̓u;In ta7 k sc¡c∆us "no little", "lots of".  ???
tsítsxts̓ext;abrasive juniper   Juniperus communis
tsit̓,  tséqwelcken;hard pitch on fir trees
ts̓íwem;butchering an animal by chopping through bones  ???
ts̓íwens;butchering an animal by chopping through bones  ???
t.síwqen;to fish as a grp., setting up weirs
tsíxa;red-breasted diving duck
tsixéxem̓s re qelmúcw;crazy person/Indian
ts̓ixnallp;deergrass, firweed Epilobium angustifolium.
tsíxtsaxt;painful, traumatic
ts̓íxwelc;spawning
tsk̓7ilc;layed there and refused to budge
tsk̓allt;dripped
tsk̓al;strip of buckskin
tsk̓e7él̓s;a trap is set on a trapline trail
tsk̓e7;one heavy rock/stg. is sitting  there
tskekík̓7est.s, tskekík̓etsts;moved stg. closer
tskek̓lle7ús;freckled.
tskék̓lle;spotted
tskeknentsút;s/he went along slowly
tskel;apart
tsk̓el;board
tsk̓élen;woodtick
tskellk̓allt;dripped
tskellqín;no hat on
tskelltsenmí7st.s, tskllenmí7sts;left the a door open/unlocked
tskéllts̓ens, ctskélckens;he hollowed it out
tsk̓elmínst.s, tsek̓elmínsts;waited  for
tsk̓élnem;listened, eaves dropped
tsk̓el̓s;lying in the middle of a road of heavy object
tskem;carve, whittle,to strike with hoof
tskentés;he carve, whittle,to strike with hoof
tsk̓empéllcw,  sk̓empéllcw;the outside,outdoors
tsken;blood-relation,close up against stg.
ts̓kénem;what is it like?,how is it made?,would you
tsk̓éne,  tsec7eqw7úqwne;earwax  ???
ts̓kenmélqw,  -es;what color?, any color.
tsken,  stsken;first cousin
tsk̓ep,  sk̓ep;softened hide
tsk̓épwen;storage space underground
tskéqsem;making a point on a stick/pole
tskeskík̓s;kindling
tskest.s;how does he/she do it?,what does she do with it?
tsk̓éwelc;old (person)
tsk̓ígmsens, tsk̓ímsens  -é;s/he disliked stg.,
tsk̓ígmt, tsk̓7em;disgusted
tsk̓igmt, tsk̓ems;found disgusting, distasteful
ts̓kíkse7;chickadee
tskilám, tsekilám;weak, not solid, E  easy brittle, easily hurt.
tskilcw;strip of rock in field  ???
tsk̓imt,  -e;disgusted,having lost one's appetite
tsk̓ísem;collecting  twigs for kindling
tsk̓is;twigs used for kindling
tskít̓em;picking chokecherries, grapes and other bunch friut/vegetables.
tskít̓ens;picking chokecherries, grapes and other bunch friut/vegetables.
tskits̓;taboo,particular about food.
tsk̓lem, tsek̓lém;wait
tskméke7;adze.
ts̓kméke7, ts̓qméke7  ???;beak of bird,   also chisel.
tsknem, tsekném, tseknemstés;considerate of sb.'s feelings
tsk̓pucw;bowl shaped,a hollow made in stg.
tsk̓pupcw;bowl
tskts̓us;cliff,woodis piled up
tskts̓us, tsk̓tsus;piled
tskúkwstsen̓;drawstring at the top of a sack
tskúme;boats/fishermen coming in to shore
tskúme;came out of the water
tskúme,  t̓éclc;come out of the water
tskum;pull
tskúsem̓;pulling on a rope
tskúsens;he pulling on a rope
tskústsen;with puckered-up mouth (after teeth have been pulled),with the draw strings pulled.
tsk̓utétqe7;threshed grain
tskuts̓;sideways,  crooked
tsk̓uy;log, tree is lying down on the ground
tsk̓wag, tsq̓wasg;cheap
ts̓kwe7éke7,  sts̓ekwe7éke7;left hand
ts̓kwe7éllcw;left side of  a sweat-lodge or lodge
tsk̓wecwtsínten;finely woven rim of basket.
tskwelkúk̓wel;metal money, small change
tskwelkwlóts̓, tsentsnó7ts̓;crooked
tsk̓wellcét̓;overhanging rockledge
tsk̓wellentsín̓;leftover food in dish, E  to leave food.
tsk̓wellqéy̓st.s;chasing/fanning away insects
tskwel;warmed up slightly of stg.
tsk̓wenem,-mens;choosing stg.,coming and seeing how sb. is.
tskwenétkwe;birch water bucket
tskwenkstwécw,  tskwekstwécw;holding hands.
tskwenk̓wénmens;finding fault with somone's appearance
tsk̓wen̓qs;fussy, choosy, particular ( someone else)
tsk̓wen̓s;fussy, particular
tskwen̓sqéxe7;rounding up animals,going to the barn/pasture to bring in a mount.
tskwenstém ey;remains within us yet
tskwenstés,  tsekwenstés;holding/carrying in the hands,to hold in safe-keeping.
tskwenst.s;s/he takes stg/someone.,touches stg.,
tskwenstsút, tsekwenstsút;to control oneself
tskwenstwécw;holding on to one another
tskwénte;get it
tskwentés;s/he pulled at it
tsk̓wentés, tsek̓wentés;pulled at stg. so that its̓ firm (rope)???
tskwentwécw;tug-of-war
tskwets̓lím;rough, branchy
tsk̓wéwsem;easing one's back by staightening it
tsk̓wéy̓lecw;frost on ground
tsk̓wey;with frost on it
tsk̓wicw;untied
ts̓kwikw;red elderberry
tskwilc;pulling on a rope
tsk̓wíllem;saving/leaving some for someone else
tsk̓will;leftover
tskwil;ready for action, weapon on hand etc.
tskwínek;bow (weapon)
tskwits;bent over forward
tskwítspe7;bent from the waist and the rear-end outward
tskwle7qín;strawberry roan (horse)
tskwle7;sorrel horse
tskwlég7, tseqwlé7;sorrel (horse)
tskwlelc;pull away (as horse, or child held by hand)
tskwlots̓;crooked
tsk̓wmín;guiding pole for boating
tsk̓wmin;pole to guide a  canoe
tskwnem, tsekwném, tskwens;got,go and get, take, bring,holding stg.
tskwnem;xelqél̓sem,-ens,holding stg. in the hand
tskwtek̓;rising of the sun or moon
tsk̓wyus, tsek̓wyús;suffering, agonizing expression
ts̓lálent;chirp (of squirrel)
t.slálqwem;stripping off bark
t.slálqwens;stripping off bark
ts̓las;kingfisher
tslegéselp̓;hauling  firewood
tslek̓;string wound around stg.
tslék̓,  stslék̓;worn out
tslek̓,  tselék;disappeared
tslek̓;worn out
ts̓lem;transplanting,setting up a weir,E  to trap fish
ts̓lentés;he transplanting,setting up a weir,E  to trap fish
ts̓lemtsín,  cts̓elemtsín;similar voice, similar sounding language
ts̓léple7cen;spurs
tslew;caught on a trap
tslex;well-known, visible to the eye
ts̓lígwem;scratch, make a scratch, to claw
ts̓lígwens;scratch, make a scratch, to claw
tsligw;opened a little
ts̓ligwt;scratched
ts̓lilc;stood up
tsllak;heap of stg. soaking wet
tsllcup;hung up
tsllcup,  tsecllcúp;hung up
tsllecwllcusíselt;racoon babies
tsllellú7;stabbed several times
tsllep̓;hanging doubled up over a clothes line/rail or branch
tsllep̓,  stllep̓;hanging over (a line, rail)
tslleq;clump of trees/bushes
tsllp̓él̓s,  stllp̓él̓s;is draped over stg.
tslluqw, tsellúqw;over cooked
tslugw;hidden
tslulewékst/tsluléwkst;with chapped hands
tsluluwékst, tslu7lu7ékst;with dirty hands,chapped hands
tsluqwt;coming off by the roots
ts̓lut;rushes
tsluw;skin is engrained with dirt
ts̓luxw;perspire
ts̓mám̓elte;young beaver (up to one year old).
ts̓mám̓elye;young beaver.
tsmat̓;people gathered closely together in one room,lying flat (plur.)
tsme7sqíle7cw;dwarf
tsmegmég;has been warmed
tsmegúlecw;grey hour before dawn
tsméltem;young  family raising children
tsmémeltem;having  babies/cubs
tsmemém̓elqw;thin trees
tsmemém̓llile;low bushes
ts̓mem,-entés/ts̓émens;mosquitoes are biting
tsmém̓llilye;low  bushes.
tsmeq̓;full stomach
ts̓méqsem;sharpening a point
ts̓méqsens;sharpening a point
tsmetcúm,-wentés;purchasing or bringing in a big supply of any thing.
tsmét̓eqw;variegated
tsméts̓e;bringing home game killed in a hunt
ts̓mex;worn out, tattered clothes, spoiled fruit
ts̓migwt,  llmigwt;ragged, tattered
ts̓migwt;overripe,falling apart of cloth
tsmimíns;approached
tsmimúycen,  tsecmimúycen;bowlegged
ts̓mus;at the point of crying (facial expression)
tsmut;sitting (sing.).
tsmuxwéke7, tmúkwtem̓;snow on trees
tsmuxw;snow is on the ground
tsnéq̓le7cw;yeast bread
tsnest.s;she brings him, her, it along when she comes over.
ts̓níqwens;she fought with her
ts̓niqwt;fight.
tsólens;she stretched it(clothing, rubber band etc.)
ts̓óllye7;great blue heron
tsp7ut̓;fog has moved in
tsp7ut̓;steam escapes
tsp'all;stg. inflated has gone flat,stg. is lying smashed on the ground.
t.sp̓álqwmens;he bashed it against a tree/post,he bumped into stg.
tspals;food or dirt  on the face
tspat̓;in a heap as jam on table
tsp̓e7stwécwemst.s;piggy backed stg. together
tsp̓e7, tsepé7;sitting piggyback
tspecéc;gas attack  ???
tspecwpúcw;snow drifts
tsp'eg;burnt-over terrain,open place in forest.
tspelemétkwe;100 Mile House
tsp̓elláll;has gone flat
tsp̓ell;lying (posture, plur.)
tspelq̓entem;restoring
tspenp̓én;graveyard
tspep̓nénus;plaited, stg. small is folded up
tspeq̓;stuck to stg.
tsp̓eq;thick, compressed (hay, berries),  E  wrinkled.
tspéq̓ye;scab
tsp̓es;flattened
tspes;puddles
tspetkúlecw;hole in the ground
tspetpítkw;full of holes
tspetpt̓élqw;with big marks, floral, printed (material)
tsp̓is;wrinkled face
tspitkw;it has a hole in it
tspluqw/tspilqw;stg is broken  ie:  bread, plate, granite stone etc.
tsptíkwne7;hole in the ice
tsptukw;it has a hole in it
tspukw;spilled scattered of dry substance
tsqáq̓lle;braided
tsq̓e7;added to a material
tsq̓ecw;piled high of rocks,root vegetables
tsq̓elcétkwe, tsexq̓elxétkwe;round lake, lake not connected to river.
tsq̓ellp;douglas fir  Pseudotsuga menziesii, Abies lasiocarpa.
tsq̓ellp;fir tree
tsqellqíllst.s;she keeps waking her up
tsqelmucwílc, tsqelmecwwílc;recover from a serious illness,become human once again
tsq̓élnem;she shot her rifle/gun
tsq̓élnens;she shot her rifle/gun
tsqelq̓léx;wild grass which grow in clumps  ???
tsq̓elxíken, tsexq̓elxíken;wolverine
tsq̓em;throwing stg. at another person/thing
tsq̓entés;he throwing stg. at another person/thing
tsqem   I.,-entés;put, place, (esp. a container or vehicle).
tsqem   II.;is hit, wounded
tsq̓emnúse7ten;lasso rope
tsq̓emnúsem,  netsq̓emnúsem;throw stg. into a fire
tsq̓emnúsem̓, tseq̓emnúsem̓;throwing  a lasso at animals
tsq̓emnúsem̓, tseq̓emnúsens;he throwing  a lasso at animals
tsq̓empéllcwens, tsq̓emnepéllcwens;threw sb. out of the house, kicked out and sent away from the house.
tsq̓empéllcwens;t̓upéllcwens,throwing stg. out of the house/tent
tsq̓emxwélst;round rocks
tsq̓emxwéqs;having a bulb-shaped end
tsq̓emxwéwll;round barrel,shaped like a cylinder
tsq̓enwén̓s, tsq̓elenmín̓s;she shot at her target
tsqépem̓;putting stg. under a dripping liquid to collect it
tsqépens;he putting stg. under a dripping liquid to collect it
tsqepqíp̓;wrinkled clothing/material
tsqeq̓elcús, tsexqeq̓elxús;wide eyed in surprise
tsqeq̓elcwékst;arthritic hands unable to grasp
tsqeq̓elcwqín̓kst, tsexqeqelcwqín̓kst;narled hands that cannot grasp things properly.
tsqeq̓emxwqíqen̓;a plant (unid.) ???
tsq̓éscen̓;has hit a rock,to hew, work in stone.
tsq̓eyíle7tcwe, tsq̓ey̓éltcw;pinto horse
tsq̓eyíle7tcw;pinto horses
tsq̓i7éscen̓;gathering rocks
tsq̓i7sékst;three-fingered mittens
tsqi7sqéxem̓;herding animals
tsq̓íl̓lep;break branches for floor covering
tsq̓íl̓lep;fir boughs broken and laid out as a mat
tsqíp̓qen;curly hair
tsqip̓s;with wrinkled face
tsqiq̓ay̓;printed material,print cloth
tsqiq̓éy̓,  stsqiq̓éy̓;markings, pattern
ts̓qíqsa7;chickadee
tsqit̓;scar
tsq'iw;broken stick or brittle object
tsqixéles, tsexqixéles;bungler
tsqixéxem,  -m̓;mentally challenged
tsqixqín;crazy
tsq̓iyéltcw;pinto pony
tsq̓lex;round
tsq̓lxéke7;mittens
tsq̓menménst;plunge down, throw one's self towards...
tsqu7;bay, anything horseshoe-shaped
tsqu7,  tsecyélk̓w;horseshoe-shaped
tsq̓ucén;with a broken leg
tsq̓úgwi;those younger  than yourself
tsqum;piled up clothing, vegetables etc.,hill
tsqúqwle7cw;red clay used for making face paint
tsquqwlút, tsqweqwlút;she spoke up
tsq̓úsens;she hit her in the face with stg.
tsq̓uwékst;a broken arm
tsq̓uwíken;a broken back
tsqw7ats;warmed person,weather becomes warm
tsqwal̓sas;splice
tsqway;well-provided, having plenty food/provisions ???
tsqweqwséy;rusty
tsqwéqwyem̓c;Indian paint brush (plant)
tsqwéqwyem̓c;red dirt used to make red paint
ts̓qwéqwyeqs;yellow-bellied sapsucker
tsqwéscen̓;gold,copper,pennies
tsqwet̓semí7;smiling all the time
tsqwet̓semí7,  sqwet̓semí7;always smiling
tsqwétsten;family elders
tsqwétsten;people
tsq̓wexw,  tsq̓w7axw;skinny
tsqweys, tsexqwéys;with a black eye
tsq̓wguy;small fry (disparaging)
tsqwi7altcw;grey (horse)
tsqwi7tsín;speaking with no respect , swearing
tsq̓wil;trampled-on (vegetation)
tsqwiqway;bruised
tsqwíqwqa;two-year-old beaver
tsqwit̓s,  qwit̓s;smiling
tsqwixw;trees on the ground
tsqwlentés;called him/her, summoned
tsq̓wle,  tsq̓wla;barbecued salmon
tsqwmenk,  tsqwmak;pregnant
tsqwmúmlecw;mound, small hill
tsq̓wmus ék̓wens ell re sp̓em̓cw;sucker fish eggs and milt
tsq̓wmus, tseq̓wmús;sucker fish
tsqwnuxw;ailing, sickly
tsq̓wsu7;bundled and tightly bound
tsqwtsaq;is dead
tsqwyaltcw;grey (horse)
tsq̓wyemstés, tsq̓oyemstés;consider someone unsuitable for a position/job,E  to underestimate.
tsrap   I.;is burning
tsrap   II.;tree,is standing upright
tsrem;burning something
tsrentés;he burning something
tsrénkem;gutting fish/animal
tsrénkens;he gutting fish/animal
tsígenkens;gutting fish/animal
